sec,nsec,x,y,z,roll,pitch,yaw
59,523104827,1972.311,112.363,1397.039,352.879,9.011,93.254
59,624018518,1972.531,112.316,1396.993,351.060,13.141,93.269
59,792246702,1972.902,112.225,1396.914,349.060,18.489,94.041
59,906227573,1973.141,112.157,1396.866,348.997,18.703,95.186
60,9377392,1973.349,112.083,1396.814,348.974,17.291,96.719
60,117279032,1973.580,112.007,1396.744,348.660,16.308,98.291
60,228781337,1973.832,111.908,1396.683,349.355,15.452,99.962
60,347217607,1974.111,111.801,1396.618,349.941,14.716,101.862
60,473093759,1974.399,111.707,1396.544,350.281,15.541,102.914
60,599934401,1974.690,111.617,1396.470,350.813,16.457,103.528
60,704165491,1974.949,111.531,1396.403,351.529,17.934,104.219
60,814809657,1975.241,111.435,1396.322,352.272,21.154,104.786
60,924475823,1975.546,111.329,1396.241,353.933,24.026,105.221
61,26737839,1975.841,111.195,1396.173,356.612,26.006,105.882
61,148661704,1976.208,110.998,1396.086,0.249,28.842,106.773
61,254245072,1976.542,110.804,1396.001,4.155,30.051,107.939
